"T" "tol" "q1" "q2" "q1sq" "q1q2" "q2sq"
"51" 1e+05 -12.0658621076437 1.11020298661293e-10 2.97034367795236e-11 7.42376562285735e-08 1.96392178026403e-08 5.0145759514875e-09
"52" 1e+05 -11.1910378824834 3.21708628391507e-10 8.52856024700708e-11 1.61181737237329e-07 4.2832012919718e-08 1.08962178526728e-08
"53" 1e+05 -10.3162136573231 8.88080500405133e-10 2.35426442378993e-10 2.76068051239007e-07 7.31846441160833e-08 1.80730129612703e-08
"54" 1e+05 -9.44138943216283 2.36110190733848e-09 6.2567843417674e-10 2.8209866928178e-07 7.61773921771459e-08 1.72234728328827e-08
"55" 1e+05 -8.56656520700254 6.18426328368159e-09 1.63953203696206e-09 5.06091754425576e-07 1.32273322240664e-07 4.58600415604051e-08
"56" 1e+05 -7.69174098184225 2.03914885287236e-08 5.42005571537267e-09 5.31246725222548e-06 1.40222550298057e-06 4.01575220259074e-07
"57" 1e+05 -6.81691675668197 5.6755226910073e-08 1.5147434932704e-08 2.91604717721313e-05 7.70514524720335e-06 2.12353893266598e-06
"58" 1e+05 -5.94209253152168 1.92252841848122e-07 5.06644268359441e-08 0.000125196652537252 3.33045891230418e-05 9.11830693232419e-06
"59" 1e+05 -5.06726830636139 5.03655335534755e-07 1.33827916909245e-07 0.000513651022281029 0.000136394802877769 3.70063404974099e-05
"60" 1e+05 -4.1924440812011 1.57556904755602e-06 4.18118841919375e-07 0.00173036575533831 0.000458365252768592 0.000123934534308009
"61" 1e+05 -3.31761985604081 4.56329944526846e-06 1.20726558166491e-06 0.00584620571346823 0.00154620643224182 0.00041821837322363
"62" 1e+05 -2.44279563088052 1.51868835946082e-05 4.01343633863742e-06 0.0191690297979059 0.00506448782332832 0.00137309955903928
"63" 1e+05 -1.56797140572023 4.22172241170323e-05 1.12371204845087e-05 0.021283760531143 0.00567065637553914 0.00161979904163729
"64" 1e+05 -0.693147180559945 0.000165000849633688 4.38286051861625e-05 0.151059429615421 0.0400017005986348 0.010761094757332
